Year,Month,Day,Hour,TH1,TH2
2013,1,1,0,0.0818805,0.0785175
2013,1,1,1,0.056478,0.0606445
2013,1,1,2,0.070913,0.069469
2013,1,1,3,0.056222,0.0676845
2013,1,1,4,0.2260925,0.186274
2013,1,1,5,0.667445,0.473701
2013,1,1,6,0.818235,0.66175
2013,1,1,7,0.834445,0.788395
2013,1,1,8,0.834445,0.802515
2013,1,1,9,0.834445,0.79242
2013,1,1,10,0.808325,0.622145
2013,1,1,11,0.53739,0.304492
2013,1,1,12,0.138227,0.077365
2013,1,1,13,0.166878,0.089508
2013,1,1,14,0.131497,0.076949
2013,1,1,15,0.104543,0.069938
2013,1,1,16,0.068399,0.02930055
2013,1,1,17,0.096551,0.057769
2013,1,1,18,0.121198,0.089605
2013,1,1,19,0.146388,0.114756
2013,1,1,20,0.068402,0.0622795
2013,1,1,21,0.0573115,0.0531425
2013,1,1,22,0.03893605,0.0490754
2013,1,1,23,0.259361,0.1806525
2013,1,2,0,0.1962625,0.145317
2013,1,2,1,0.172354,0.128704
2013,1,2,2,0.143449,0.1111845
2013,1,2,3,0.2838715,0.213752
2013,1,2,4,0.782195,0.576595
2013,1,2,5,0.834445,0.811355
2013,1,2,6,0.834445,0.833725
2013,1,2,7,0.834445,0.832365
2013,1,2,8,0.834445,0.834445
2013,1,2,9,0.834445,0.834445
2013,1,2,10,0.834445,0.833325
2013,1,2,11,0.834445,0.797015
2013,1,2,12,0.71187,0.507905
2013,1,2,13,0.693825,0.48593
2013,1,2,14,0.676625,0.4794165
2013,1,2,15,0.4689335,0.3511125
2013,1,2,16,0.23597,0.177285
2013,1,2,17,0.367877,0.259802
2013,1,2,18,0.4176295,0.27692
2013,1,2,19,0.4360375,0.303395
2013,1,2,20,0.559795,0.3764615
2013,1,2,21,0.524135,0.356095
2013,1,2,22,0.82241,0.713205
2013,1,2,23,0.825615,0.76092
2013,1,3,0,0.55965,0.421286
2013,1,3,1,0.4320145,0.312966
2013,1,3,2,0.3152995,0.2375045
2013,1,3,3,0.761205,0.574585
2013,1,3,4,0.834445,0.80778
2013,1,3,5,0.834445,0.834445
2013,1,3,6,0.834445,0.834445
2013,1,3,7,0.834445,0.834445
2013,1,3,8,0.834445,0.834445
2013,1,3,9,0.834445,0.834445
2013,1,3,10,0.834445,0.834445
2013,1,3,11,0.834445,0.834445
2013,1,3,12,0.8308,0.78711
2013,1,3,13,0.779315,0.62418
2013,1,3,14,0.761415,0.54776
2013,1,3,15,0.81152,0.640205
2013,1,3,16,0.78978,0.622845
2013,1,3,17,0.806695,0.664485
2013,1,3,18,0.8257,0.744405
2013,1,3,19,0.77829,0.66741
2013,1,3,20,0.513725,0.447
2013,1,3,21,0.50348,0.406256
2013,1,3,22,0.186403,0.1546065
2013,1,3,23,0.3512445,0.213261
2013,1,4,0,0.537325,0.332043
2013,1,4,1,0.51831,0.354999
2013,1,4,2,0.62083,0.4400445
2013,1,4,3,0.81064,0.689795
2013,1,4,4,0.834445,0.828835
2013,1,4,5,0.834445,0.834445
2013,1,4,6,0.834445,0.834445
2013,1,4,7,0.834445,0.834445
2013,1,4,8,0.834445,0.834445
2013,1,4,9,0.834445,0.834445
2013,1,4,10,0.834445,0.834445
2013,1,4,11,0.834445,0.78277
2013,1,4,12,0.764515,0.4667745
2013,1,4,13,0.6232,0.351333
2013,1,4,14,0.551425,0.3081245
2013,1,4,15,0.446096,0.253727
2013,1,4,16,0.43609,0.2474245
2013,1,4,17,0.4483805,0.2558515
2013,1,4,18,0.375529,0.2251055
2013,1,4,19,0.3871465,0.228626
2013,1,4,20,0.413266,0.250846
2013,1,4,21,0.33333,0.222692
2013,1,4,22,0.0667385,0.0622115
2013,1,4,23,0.474248,0.30825
2013,1,5,0,0.337238,0.2536795
2013,1,5,1,0.238525,0.1673025
2013,1,5,2,0.260955,0.163272
2013,1,5,3,0.683385,0.4768775
2013,1,5,4,0.834445,0.81856
2013,1,5,5,0.834445,0.834445
2013,1,5,6,0.834445,0.834445
2013,1,5,7,0.834445,0.834445
2013,1,5,8,0.834445,0.834445
2013,1,5,9,0.834445,0.834445
2013,1,5,10,0.834445,0.834205
2013,1,5,11,0.834445,0.826665
2013,1,5,12,0.82672,0.694145
2013,1,5,13,0.76024,0.533995
2013,1,5,14,0.6483,0.44622
2013,1,5,15,0.369533,0.253477
2013,1,5,16,0.23211,0.1740195
2013,1,5,17,0.468064,0.3277355
2013,1,5,18,0.579465,0.387544
2013,1,5,19,0.4696055,0.315972
2013,1,5,20,0.451794,0.303377
2013,1,5,21,0.42369,0.271269
2013,1,5,22,0.1003065,0.100465
2013,1,5,23,0.3323935,0.208299
2013,1,6,0,0.366652,0.2387965
2013,1,6,1,0.3914955,0.2590385
2013,1,6,2,0.3972065,0.2516955
2013,1,6,3,0.56963,0.3828555
2013,1,6,4,0.834445,0.77995
2013,1,6,5,0.834445,0.834445
2013,1,6,6,0.834445,0.834445
2013,1,6,7,0.834445,0.834445
2013,1,6,8,0.834445,0.834445
2013,1,6,9,0.834445,0.834445
2013,1,6,10,0.834445,0.834445
2013,1,6,11,0.834445,0.833695
2013,1,6,12,0.825195,0.68083
2013,1,6,13,0.76628,0.56494
2013,1,6,14,0.649275,0.423979
2013,1,6,15,0.65523,0.4157265
2013,1,6,16,0.571115,0.35513
2013,1,6,17,0.4661425,0.287588
2013,1,6,18,0.419213,0.25757
2013,1,6,19,0.1841035,0.108087
2013,1,6,20,0.266319,0.1521295
2013,1,6,21,0.37465,0.2264745
2013,1,6,22,0.4502765,0.394878
2013,1,6,23,0.552735,0.3884955
2013,1,7,0,0.612835,0.4164225
2013,1,7,1,0.677895,0.4695585
2013,1,7,2,0.776085,0.582435
2013,1,7,3,0.834445,0.82147
2013,1,7,4,0.834445,0.834445
2013,1,7,5,0.834445,0.834445
2013,1,7,6,0.834445,0.834445
2013,1,7,7,0.834445,0.834445
2013,1,7,8,0.834445,0.834445
2013,1,7,9,0.834445,0.834445
2013,1,7,10,0.834445,0.834445
2013,1,7,11,0.834445,0.834445
2013,1,7,12,0.834445,0.834445
2013,1,7,13,0.834445,0.83255
2013,1,7,14,0.834445,0.825775
2013,1,7,15,0.834445,0.78835
2013,1,7,16,0.834445,0.81746
2013,1,7,17,0.83246,0.74177
2013,1,7,18,0.83201,0.735075
2013,1,7,19,0.834445,0.767305
2013,1,7,20,0.834445,0.7814
2013,1,7,21,0.834445,0.80067
2013,1,7,22,0.41589,0.2641735
2013,1,7,23,0.834445,0.768525
2013,1,8,0,0.820275,0.647715
2013,1,8,1,0.75876,0.493265
2013,1,8,2,0.672965,0.4470425
2013,1,8,3,0.82615,0.68316
2013,1,8,4,0.834445,0.834315
2013,1,8,5,0.834445,0.834445
2013,1,8,6,0.834445,0.834445
2013,1,8,7,0.834445,0.834445
2013,1,8,8,0.834445,0.834445
2013,1,8,9,0.834445,0.834445
2013,1,8,10,0.834445,0.82438
2013,1,8,11,0.834445,0.828415
2013,1,8,12,0.8325,0.746895
2013,1,8,13,0.71226,0.4537325
2013,1,8,14,0.4140905,0.2620855
2013,1,8,15,0.2914905,0.1822405
2013,1,8,16,0.338174,0.215792
2013,1,8,17,0.3376925,0.221805
2013,1,8,18,0.2731995,0.1772915
2013,1,8,19,0.2964955,0.18097
2013,1,8,20,0.2583985,0.1593265
2013,1,8,21,0.272877,0.1780415
2013,1,8,22,0.1309685,0.086245
2013,1,8,23,0.1605795,0.102029
2013,1,9,0,0.2652575,0.1794185
2013,1,9,1,0.245955,0.179782
2013,1,9,2,0.252974,0.1759325
2013,1,9,3,0.599765,0.411865
2013,1,9,4,0.834445,0.779095
2013,1,9,5,0.834445,0.828465
2013,1,9,6,0.834445,0.834445
2013,1,9,7,0.834445,0.834445
2013,1,9,8,0.834445,0.834445
2013,1,9,9,0.834445,0.834445
2013,1,9,10,0.834445,0.834445
2013,1,9,11,0.834445,0.833265
2013,1,9,12,0.834445,0.782325
2013,1,9,13,0.825425,0.71356
2013,1,9,14,0.782785,0.59357
2013,1,9,15,0.697975,0.4837545
2013,1,9,16,0.476361,0.3116305
2013,1,9,17,0.366342,0.236312
2013,1,9,18,0.2577015,0.16341
2013,1,9,19,0.173192,0.114944
2013,1,9,20,0.1770815,0.118158
2013,1,9,21,0.173927,0.113411
2013,1,9,22,0.097427,0.0645725
2013,1,9,23,0.173031,0.107367
2013,1,10,0,0.272434,0.1559755
2013,1,10,1,0.2741055,0.1527435
2013,1,10,2,0.260462,0.158447
2013,1,10,3,0.47008,0.328709
2013,1,10,4,0.828335,0.721825
2013,1,10,5,0.834445,0.82629
2013,1,10,6,0.834445,0.834445
2013,1,10,7,0.834445,0.834445
2013,1,10,8,0.834445,0.834445
2013,1,10,9,0.834445,0.834445
2013,1,10,10,0.834445,0.834445
