Year,Month,Day,Hour,TH1,TH2
2013,1,1,0,0,0.4013645
2013,1,1,1,0,0.3870095
2013,1,1,2,0,0.3905745
2013,1,1,3,0,0.367338
2013,1,1,4,0,0.44704
2013,1,1,5,0,0.54912
2013,1,1,6,0,0.60035
2013,1,1,7,0,0.64524
2013,1,1,8,0,0.65548
2013,1,1,9,0,0.655045
2013,1,1,10,0,0.600885
2013,1,1,11,0,0.52104
2013,1,1,12,0,0.4111365
2013,1,1,13,0,0.430308
2013,1,1,14,0,0.420555
2013,1,1,15,0,0.411604
2013,1,1,16,0,0.392891
2013,1,1,17,0,0.4068635
2013,1,1,18,0,0.416678
2013,1,1,19,0,0.4263075
2013,1,1,20,0,0.3929005
2013,1,1,21,0,0.388591
2013,1,1,22,0,0.379235
2013,1,1,23,0,0.468518
2013,1,2,0,0,0.4479325
2013,1,2,1,0,0.4367815
2013,1,2,2,0,0.414037
2013,1,2,3,0,0.457577
2013,1,2,4,0,0.5839
2013,1,2,5,0,0.66425
2013,1,2,6,0,0.708105
2013,1,2,7,0,0.70376
2013,1,2,8,0,0.742155
2013,1,2,9,0,0.74682
2013,1,2,10,0,0.698715
2013,1,2,11,0,0.645075
2013,1,2,12,0,0.56547
2013,1,2,13,0,0.56331
2013,1,2,14,0,0.56182
2013,1,2,15,0,0.5202
2013,1,2,16,0,0.462495
2013,1,2,17,0,0.481963
2013,1,2,18,0,0.51057
2013,1,2,19,0,0.51196
2013,1,2,20,0,0.53343
2013,1,2,21,0,0.53408
2013,1,2,22,0,0.61716
2013,1,2,23,0,0.616305
2013,1,3,0,0,0.53012
2013,1,3,1,0,0.5034
2013,1,3,2,0,0.4769225
2013,1,3,3,0,0.575965
2013,1,3,4,0,0.659255
2013,1,3,5,0,0.734575
2013,1,3,6,0,0.77166
2013,1,3,7,0,0.782015
2013,1,3,8,0,0.782285
2013,1,3,9,0,0.766715
2013,1,3,10,0,0.78125
2013,1,3,11,0,0.703605
2013,1,3,12,0,0.6316
2013,1,3,13,0,0.58743
2013,1,3,14,0,0.56726
2013,1,3,15,0,0.59958
2013,1,3,16,0,0.59026
2013,1,3,17,0,0.60511
2013,1,3,18,0,0.620625
2013,1,3,19,0,0.59068
2013,1,3,20,0,0.521945
2013,1,3,21,0,0.52327
2013,1,3,22,0,0.443275
