Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,DNI Units,DHI Units,GHI Units,Temperature Units,Relative Humidity Units,Wind Direction Units,Wind Speed Units
Solcast,-,-,-,-,27.5409,85.671,5.75,1303,5.75,w/m2,w/m2,w/m2,c,%,Degrees,m/s
Year,Month,Day,Hour,Minute,DNI,DHI,GHI,Temperature,Relative Humidity,Wind Direction,Wind Speed
2022,1,1,0,45,0,0,0,7.4,93.7,347,1.1
2022,1,1,1,45,0,0,0,6.6,94.6,349,1.0
2022,1,1,2,45,0,0,0,5.9,95.6,357,1.1
2022,1,1,3,45,0,0,0,5.5,94.3,6,1.4
2022,1,1,4,45,0,0,0,5.6,92.3,6,1.4
2022,1,1,5,45,0,0,0,5.9,90.7,2,1.4
2022,1,1,6,45,0,24,24,6.4,87.7,6,1.4
2022,1,1,7,45,16,85,90,7.3,84.7,9,1.2
2022,1,1,8,45,14,178,185,8.6,80.9,340,0.5
2022,1,1,9,45,763,120,534,10.7,76.3,206,0.5
2022,1,1,10,45,903,91,644,12.3,74.0,191,1.1
2022,1,1,11,45,871,109,658,12.6,72.6,196,1.4
2022,1,1,12,45,761,140,593,13.2,70.3,203,1.7
2022,1,1,13,45,701,132,486,13.7,67.8,205,1.7
2022,1,1,14,45,595,108,330,12.8,72.2,204,1.6
2022,1,1,15,45,104,93,120,11.5,80.7,205,1.5
2022,1,1,16,45,2,11,11,11.0,84.9,211,1.5
2022,1,1,17,45,0,0,0,11.3,83.8,213,1.2
2022,1,1,18,45,0,0,0,11.5,83.2,220,0.7
2022,1,1,19,45,0,0,0,10.6,86.9,276,0.4
2022,1,1,20,45,0,0,0,9.7,89.5,331,0.7
2022,1,1,21,45,0,0,0,8.9,91.3,346,1.0
2022,1,1,22,45,0,0,0,8.0,92.1,355,1.1
2022,1,1,23,45,0,0,0,7.6,91.2,0,1.2
2022,1,2,0,45,0,0,0,6.5,92.7,0,1.2
2022,1,2,1,45,0,0,0,5.8,93.9,2,1.4
2022,1,2,2,45,0,0,0,5.5,92.6,6,1.5
2022,1,2,3,45,0,0,0,5.0,91.3,6,1.5
