Year,Month,Day,Hour,Minute,DNI,DHI,GHI,Temperature,Relative Humidity,Wind Direction,Wind Speed
2016,1,1,0,45,0,0,0,0.6,78.8,36,0.9
2016,1,1,1,45,0,0,0,-0.6,79.6,37,1.1
2016,1,1,2,45,0,0,0,-0.5,79.3,35,1.4
2016,1,1,3,45,0,0,0,0.1,76.7,31,1.5
2016,1,1,4,45,0,0,0,0.7,72.1,31,1.3
2016,1,1,5,45,0,0,0,1.5,70.4,34,1.3
2016,1,1,6,45,40,43,49,2.2,70.8,37,1.3
2016,1,1,7,45,525,87,239,3.7,71.1,39,1.1
2016,1,1,8,45,701,114,423,5.8,71.3,65,0.5
2016,1,1,9,45,766,133,559,8.0,67.1,192,0.5
2016,1,1,10,45,792,144,636,10.0,58.4,210,1.1
2016,1,1,11,45,808,139,650,10.8,54.6,214,1.3
2016,1,1,12,45,765,142,592,11.6,55.6,216,1.3
2016,1,1,13,45,669,139,469,12.4,57.9,214,1.2
2016,1,1,14,45,501,118,296,9.8,67.8,214,0.9
2016,1,1,15,45,227,68,111,7.7,71.9,222,0.6
2016,1,1,16,45,7,5,6,8.1,68.0,290,0.3
2016,1,1,17,45,0,0,0,7.2,68.8,12,0.5
2016,1,1,18,45,0,0,0,5.6,69.2,24,0.5
2016,1,1,19,45,0,0,0,3.8,69.3,37,0.5
2016,1,1,20,45,0,0,0,2.6,68.6,45,0.6
2016,1,1,21,45,0,0,0,1.8,68.4,40,0.8
2016,1,1,22,45,0,0,0,0.8,69.2,36,0.9
2016,1,1,23,45,0,0,0,0.4,68.1,37,1.0
2016,1,2,0,45,0,0,0,0.0,66.7,37,1.1
2016,1,2,1,45,0,0,0,-0.5,65.9,38,1.1
2016,1,2,2,45,0,0,0,-1.0,67.5,37,1.3
2016,1,2,3,45,0,0,0,-1.2,67.5,35,1.2
2016,1,2,4,45,0,0,0,0.1,63.6,37,1.1
2016,1,2,5,45,0,0,0,1.1,61.2,41,1.1
2016,1,2,6,45,88,40,52,2.1,63.8,41,0.9
2016,1,2,7,45,508,90,237,3.8,71.4,48,0.7
2016,1,2,8,45,795,89,440,5.1,75.4,96,0.3
2016,1,2,9,45,884,93,584,7.8,67.2,214,0.6
2016,1,2,10,45,904,102,664,10.7,57.3,216,1.2
2016,1,2,11,45,903,104,676,11.3,55.3,219,1.4
2016,1,2,12,45,867,106,618,11.8,54.8,221,1.5
2016,1,2,13,45,791,104,495,12.5,54.6,220,1.5
2016,1,2,14,45,688,83,327,10.2,61.8,217,1.3
2016,1,2,15,45,415,54,132,7.6,70.4,216,1.2
2016,1,2,16,45,20,5,7,8.0,70.0,207,0.9
2016,1,2,17,45,0,0,0,9.0,67.2,159,0.4
2016,1,2,18,45,0,0,0,8.9,67.7,91,0.4
2016,1,2,19,45,0,0,0,7.2,71.8,59,0.5
2016,1,2,20,45,0,0,0,6.0,76.1,49,0.5
2016,1,2,21,45,0,0,0,5.4,77.1,49,0.5
2016,1,2,22,45,0,0,0,4.5,76.9,36,0.4
2016,1,2,23,45,0,0,0,3.8,76.0,31,0.6
2016,1,3,0,45,0,0,0,2.4,75.4,37,0.8
2016,1,3,1,45,0,0,0,0.8,75.7,40,0.8
2016,1,3,2,45,0,0,0,0.4,75.7,35,1.2
2016,1,3,3,45,0,0,0,0.8,76.6,32,1.6
2016,1,3,4,45,0,0,0,1.9,76.5,35,1.4
2016,1,3,5,45,0,0,0,2.5,76.3,38,1.2
2016,1,3,6,45,3,36,37,2.8,79.8,39,1.0
2016,1,3,7,45,253,125,203,3.2,80.1,49,0.6
2016,1,3,8,45,650,125,412,3.6,77.0,119,0.2
2016,1,3,9,45,724,148,551,5.7,67.2,206,0.6
2016,1,3,10,45,756,160,631,8.9,56.7,209,1.0
2016,1,3,11,45,706,181,630,10.5,55.8,209,1.3
